id	bucket	track	upstream
028	implementation-ready	component-model	
032	implementation-ready	component-model	
034	implementation-ready	component-model	
036	blocked-by-upstream	component-model	037-external-jco
039	implementation-ready	stdlib	
041	blocked-by-upstream	stdlib	#39
043	blocked-by-upstream	stdlib	#39
044	blocked-by-upstream	stdlib	#39;#41
045	blocked-by-upstream	stdlib	#39;#41
047	blocked-by-upstream	stdlib	#39;#41
048	blocked-by-upstream	stdlib	#39;#41
049	blocked-by-upstream	stdlib	#39;#41
051	blocked-by-upstream	stdlib	#39
054	blocked-by-upstream	stdlib	#39;#44
055	blocked-by-upstream	stdlib	#39;#44
064	implementation-ready	wasm-feature	
066	implementation-ready	wasm-feature	
070	implementation-ready	wasm-feature	
072	implementation-ready	wasm-feature	
074	implementation-ready	wasi-feature	
077	blocked-by-upstream	wasi-feature	#74
094	implementation-ready	backend-opt	
095	implementation-ready	backend-opt	
096	implementation-ready	compile-speed	
099	implementation-ready	compile-speed	
108	implementation-ready	runtime-perf	
110	implementation-ready	benchmark	
112	implementation-ready	benchmark	
123	design-ready	language-design	
124	blocked-by-upstream	language-design	#74
125	blocked-by-upstream	pipeline-refactor	CoreHIR-default-blocked (issue body: fixtures failing)
126	blocked-by-upstream	pipeline-refactor	#125
129	implementation-ready	code-structure	
130	implementation-ready	code-structure	
134	implementation-ready	code-structure	
135	implementation-ready	code-structure	
136	blocked-by-upstream	wasi-feature	#139;#77
139	blocked-by-upstream	wasi-feature	#74
154	implementation-ready	cross-cutting	
157	design-ready	language-design	
188	blocked-by-upstream	parallel	#204
194	implementation-ready	parallel	
195	implementation-ready	parallel	
198	implementation-ready	parallel	
200	implementation-ready	parallel	
201	blocked-by-upstream	parallel	#200
204	implementation-ready	parallel	
205	blocked-by-upstream	parallel	#188
206	implementation-ready	parallel	
214	blocked-by-upstream	parallel	#188
249	implementation-ready	compiler/selfhost	
252	design-ready	main	
253	verification-ready	main	
254	implementation-ready	main	
266	blocked-by-upstream	main	#253
268	verification-ready	main	
269	blocked-by-upstream	main	#266;#268
282	implementation-ready	corehir	
283	implementation-ready	corehir	
285	implementation-ready	corehir	
286	verification-ready	selfhost	
289	verification-ready	selfhost	
312	implementation-ready	selfhost-frontend	
382	implementation-ready	playground	
453	implementation-ready	vscode-ide	
459	implementation-ready	compiler, selfhost	
473	blocked-by-upstream	wasm-feature	#32
474	blocked-by-upstream	wasm-feature	#74
475	blocked-by-upstream	cli	#74
476	blocked-by-upstream	wasm-feature	#74
485	blocked-by-upstream	docs	#475
490	implementation-ready	compiler, module-system	
494	implementation-ready	selfhost	
495	blocked-by-upstream	selfhost	#312;#504
499	implementation-ready	selfhost	
504	implementation-ready	selfhost	
508	blocked-by-upstream	corehir	#285
510	blocked-by-upstream	wasi-feature	#74
511	implementation-ready	stdlib	
512	blocked-by-upstream	stdlib	#495;#504
513	implementation-ready	stdlib	
514	implementation-ready	stdlib	
515	implementation-ready	stdlib	
516	implementation-ready	stdlib	
517	implementation-ready	stdlib	
518	blocked-by-upstream	stdlib	#513;#517
520	implementation-ready	stdlib	
521	implementation-ready	stdlib	
522	implementation-ready	stdlib	
523	implementation-ready	stdlib	
524	implementation-ready	stdlib	
525	implementation-ready	stdlib, docs	
526	implementation-ready	stdlib	
527	implementation-ready	stdlib	
528	implementation-ready	stdlib
