section,name,files,lines,chars,bytes,blank,source,doc_comment,document,test,comment,other,test_cases
extension,(no_ext),1,21,1078,1078,4,0,0,0,0,0,17,0
extension,.1.0-draft.md,1,42,1963,1963,7,0,0,35,0,0,0,0
extension,.analysis-expected,3,12,641,641,0,0,0,0,12,0,0,0
extension,.ark,2661,103441,3699444,3708539,11477,0,0,0,12912,0,79052,0
extension,.c,3,94,2065,2071,8,86,0,0,0,0,0,0
extension,.d.ts,3,276,11075,11657,0,276,0,0,0,0,0,0
extension,.dap-expected,1,9,443,443,4,0,0,0,5,0,0,0
extension,.dap-script,1,7,254,254,3,0,0,0,4,0,0,0
extension,.diag,119,208,7126,7158,16,0,0,0,192,0,0,0
extension,.expected,481,1724,10471,10471,19,0,0,0,1645,0,60,0
extension,.expected.wit,16,117,2208,2208,23,0,0,0,89,0,5,0
extension,.fixed.ark,1,5,50,50,1,0,0,0,4,0,0,0
extension,.flags,26,29,737,737,0,0,0,0,29,0,0,0
extension,.generated-files,1,59,4553,4555,4,0,0,0,0,0,55,0
extension,.gitignore,5,103,1913,1915,23,0,0,0,0,0,80,0
extension,.gitkeep,2,0,0,0,0,0,0,0,0,0,0,0
extension,.grain,1,9,116,116,0,0,0,0,0,0,9,0
extension,.html,2,761,21908,21960,82,679,0,0,0,0,0,0
extension,.input.ark,1,6,65,65,1,0,0,0,5,0,0,0
extension,.input.txt,1,1200,1438805,1438805,0,0,0,0,0,0,1200,0
extension,.js,14,3997,134484,135144,284,3713,0,0,0,0,0,0
extension,.json,28,17739,515282,515492,0,0,0,0,7436,0,10303,0
extension,.lock,8,5402,186685,186685,814,0,0,0,1182,0,3406,0
extension,.log,2,209,12213,12517,5,0,0,0,0,0,204,0
extension,.lsp-expected,21,211,25494,25494,95,0,0,0,116,0,0,0
extension,.lsp-script,21,295,18297,18297,137,0,0,0,158,0,0,0
extension,.markdownlint-cli2.jsonc,1,23,375,375,0,0,0,0,0,0,23,0
extension,.md,998,108856,4296371,4795372,27129,0,0,81727,0,0,0,0
extension,.mdc,2,34,1525,1863,8,0,0,0,0,0,26,0
extension,.mir,5,5,746,746,0,0,0,0,5,0,0,0
extension,.mjs,1,55,1394,1396,7,48,0,0,0,0,0,0
extension,.nojekyll,1,1,1,1,1,0,0,0,0,0,0,0
extension,.py,99,34017,1294651,1306562,4276,29254,0,0,487,0,0,0
extension,.rs,22,4010,138465,140143,246,3027,125,0,543,69,0,6
extension,.rustfmt.toml,1,3,65,65,0,0,0,0,0,0,3,0
extension,.selfhost.diag,27,30,1127,1127,0,0,0,0,30,0,0,0
extension,.sh,143,8836,274712,279426,1564,2537,0,0,4735,0,0,0
extension,.test.js,4,2156,73605,73639,198,1850,0,0,108,0,0,0
extension,.test.ts,15,2693,87408,87533,341,0,0,0,2352,0,0,0
extension,.tmlanguage.json,1,463,11564,11564,0,0,0,0,0,0,463,0
extension,.toml,26,7457,173016,178399,977,0,0,0,92,0,6388,0
extension,.ts,24,6628,191139,191917,744,5884,0,0,0,0,0,0
extension,.txt,5,1187,47320,47344,7,0,0,0,1179,0,1,0
extension,.vscode-test.mjs,1,31,858,858,2,29,0,0,0,0,0,0
extension,.vscode-test.vsix.mjs,1,32,890,890,2,30,0,0,0,0,0,0
extension,.vscodeignore,1,13,172,172,0,0,0,0,0,0,13,0
extension,.wat,8,92,3862,3862,4,88,0,0,0,0,0,0
extension,.wit,66,1838,76390,76390,210,0,0,0,193,0,1435,0
extension,.yml,3,311,9658,9945,56,255,0,0,0,0,0,0
area,other,1357,186388,8374229,8905567,34738,35380,40,81451,595,63,34121,0
area,source_tree,1753,93198,3431123,3434062,10640,11906,21,0,2452,3,68176,6
area,top_level_docs_tests,1769,35161,977332,978275,3401,470,64,311,30466,3,446,0
content_kind,blank,4075,48779,49733,49733,,,,,,,,0
content_kind,comment,5,69,3683,5335,,,,,,,,0
content_kind,doc_comment,16,125,5746,5770,,,,,,,,0
content_kind,document,999,81762,4271129,4770130,,,,,,,,0
content_kind,other,1912,102743,5487920,5502861,,,,,,,,0
content_kind,source,199,47756,1918735,1937347,,,,,,,,0
content_kind,test,1749,33513,1045738,1046728,,,,,,,,6
